Molecule ChEMBL ID,Smiles,pChEMBL Value,Assay ChEMBL ID
CHEMBL2165040,c1cnc(Nc2cccc3n[nH]cc23)c(-c2ncnc3nc[nH]c23)c1,4.64,CHEMBL3706341
CHEMBL4293439,C[C@@H]1CN(c2nc(-c3cnc(N)cc3C(F)F)nc(N3C[C@@H](C)O[C@@H](C)C3)n2)C[C@H](C)O1,4.81,CHEMBL4276427
CHEMBL3698320,Cc1nc2ccc(Cl)cc2c(N2CC(C)(C)c3ccc(-c4cn[nH]c4)cc32)c1C,5.02,CHEMBL3705734
CHEMBL4288989,CC1(C)CN(c2nc(-c3cnc(N)cc3C(F)F)nc(N3CCOC(C)(C)C3)n2)CCO1,5.06,CHEMBL4276427
CHEMBL3698332,COc1cc2nc(C)c(C)c(N3CC4(CCOCC4)c4ccc(C#N)cc43)c2cc1Cl,5.12,CHEMBL3705734
CHEMBL2165041,COc1ccc(Nc2ncccc2-c2ncnc3nc[nH]c23)cn1,5.14,CHEMBL3706341
CHEMBL2418338,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)nc(C(C)(C)O)n3C)cc1,5.16,CHEMBL2421129
CHEMBL2418350,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3CC)c3c(n2)c(C)nn3C)cc1,5.24,CHEMBL2421129
CHEMBL3643919,c1cnc(Nc2cccc3[nH]ccc23)c(-c2ncnc3[nH]cnc23)c1,5.25,CHEMBL3706341
CHEMBL3698318,COc1ccccc1-c1cc(N2CC(C)(C)c3ccc(N4CCOCC4)cc32)c2cc(Cl)ccc2n1,5.25,CHEMBL3705734
CHEMBL4289122,Nc1cc(C(F)(F)F)c(-c2nc(N3C4CCC3COC4)cc(N3C4CCC3COC4)n2)cn1,5.25,CHEMBL4276427
CHEMBL2418351,CCNC(=O)Nc1ccc(-c2nc(N3C[C@@H]4C[C@H]3CO4)c3c(cnn3C)n2)cc1,5.29,CHEMBL2421129
CHEMBL2171926,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(-c3ccncc3)cc21,5.3,CHEMBL3705734
CHEMBL4288210,Nc1cc(C(F)F)c(-c2nc(N3C[C@H]4C[C@@H]3CO4)nc(N3C[C@H]4C[C@@H]3CO4)n2)cn1,5.33,CHEMBL4276427
CHEMBL4539743,Nc1cc(C(F)(F)F)c(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cn1,5.33,CHEMBL4360966
CHEMBL1668270,Cc1ccc(NC(=O)c2c(C)ccc3c(N)nc(C)nc23)cn1,5.34,CHEMBL1670738
CHEMBL4572049,CCCCn1nc(-c2ccc3oc(N)nc3c2)c2c(Cl)nc(N)nc21,5.34,CHEMBL4410952
CHEMBL1668265,Cc1nc(N)c2ccc(C)c(C(=O)Nc3ccn[nH]3)c2n1,5.34,CHEMBL1670738
CHEMBL4286698,Nc1cc(C(F)F)c(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cn1,5.38,CHEMBL4276427
CHEMBL3698324,Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,5.39,CHEMBL3705734
CHEMBL3698334,COc1cc2nc(C)c(C)c(N3CC(C)(C)c4ccc(N5CCOCC5)c(C)c43)c2cc1Cl,5.4,CHEMBL3705734
CHEMBL3639971,COc1cc(OC)c2nc(C)c(C)c(N3CC(C)(C)c4ccc(N5CCOCC5)cc43)c2c1,5.4,CHEMBL3705734
CHEMBL3698310,Cc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)nc2cccc(F)c2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,5.42,CHEMBL3705734
CHEMBL3698328,COc1cc(N2CCOCC2)cc2c1ccn2-c1c(C)c(C)nc2ccc(Cl)cc12,5.43,CHEMBL3705734
CHEMBL2171927,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(-c3ccnc(N)n3)cc21,5.45,CHEMBL2174950
CHEMBL2418349,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3CC)c3c(cnn3C)n2)cc1,5.47,CHEMBL2421129
CHEMBL3698317,Cc1cc(Cl)c2nc(C)c(C)c(N3CC(C)(C)c4ccc(N5CCOCC5)cc43)c2c1,5.5,CHEMBL3705734
CHEMBL2165036,Nc1cc(-c2cccnc2Nc2cccc3[nH]ncc23)nc(C(F)(F)F)n1,5.5,CHEMBL3706341
CHEMBL4441763,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(=O)[nH]c(N)nc21,5.5,CHEMBL4410952
CHEMBL3698309,Cc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,5.51,CHEMBL3705734
CHEMBL2063759,CCNC(=O)Nc1ccc(-c2nc3c(c(N4C[C@H]5CC[C@@H](C4)O5)n2)CS(=O)(=O)CC3)cc1,5.52,CHEMBL2065053
CHEMBL3646453,CC(=O)Nc1cc(-c2cnccc2Nc2cccc3[nH]ccc23)nc(C)n1,5.57,CHEMBL3706341
CHEMBL3698336,CC1(C)CN(c2c3c(nc4ccc(Cl)cc24)CCCC3)c2cc(N3CCOCC3)ccc21,5.58,CHEMBL3705734
CHEMBL4538004,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(F)nc(N)nc21,5.58,CHEMBL4410952
CHEMBL3401984,OCC(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,5.58,CHEMBL3405462
CHEMBL4762174,C[C@@H]1COCCN1c1nc(-c2cnc(N)s2)nc2c1C[C@@H]1COCCN21,5.61,CHEMBL4732440
CHEMBL4278707,Nc1cc(C(F)F)c(-c2nc(N3C4COCC3COC4)nc(N3C4COCC3COC4)n2)cn1,5.62,CHEMBL4276427
CHEMBL4281245,Nc1cc(C(F)F)c(-c2nc(N3C4CCC3COC4)cc(N3C4CCC3COC4)n2)cn1,5.65,CHEMBL4276427
CHEMBL4285727,Nc1cc(C(F)(F)F)c(-c2cc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cn1,5.66,CHEMBL4276427
CHEMBL4538629,CCCCn1nc(-c2ccc3oc(N)nc3c2)c2c(C)nc(N)nc21,5.66,CHEMBL4410952
CHEMBL2071341,Cc1nc(NC(=O)NCCC(=O)OC(C)(C)C)sc1-c1ccc(S(C)(=O)=O)c(F)c1,5.67,CHEMBL2072997
CHEMBL4277797,Nc1cc(C(F)F)c(-c2cc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cn1,5.68,CHEMBL4276427
CHEMBL3698343,Cc1nc2ccc(Cl)cc2c(-n2cc(C#N)c3ccc(-c4cn[nH]c4)cc32)c1C,5.68,CHEMBL3705734
CHEMBL3646515,Cc1nc(N)nc(-c2cc(Cl)cnc2NC2CCOCC2)n1,5.68,CHEMBL3706341
CHEMBL3698323,COc1cc(-c2cn[nH]c2)cc2c1ccn2-c1c(C)c(C)nc2ccc(Cl)cc12,5.69,CHEMBL3705734
CHEMBL2069328,CC(=O)c1ccc(-c2sc(NC(=O)NCCC(=O)NC(C)(C)C)nc2C)cc1,5.72,CHEMBL2072997
CHEMBL3649476,Cc1nc(N)cc(-c2cnccc2Nc2cccc3[nH]ccc23)n1,5.72,CHEMBL3706341
CHEMBL5412575,Nc1cc(C(F)F)c(-c2nc(C3=CCOCC3)nc(N3CCCCC3)n2)cn1,5.73,CHEMBL5321639
CHEMBL3401975,Fc1cnc2[nH]cc(-c3ncc(F)c(N[C@H]4C5CCC(CC5)[C@@H]4c4nnn[nH]4)n3)c2c1,5.75,CHEMBL3405462
CHEMBL3698319,Cc1nc2ccc(Cl)cc2c(N2CC(C)(C)c3ccc(-c4ccncc4)cc32)c1C,5.77,CHEMBL3705734
CHEMBL3643922,COc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2ncnc(C)n2)cn1,5.8,CHEMBL3706341
CHEMBL4752187,C[C@@H]1COCCN1c1nc(-c2nnc(N)s2)nc2c1C[C@@H]1COCCN21,5.81,CHEMBL4732440
CHEMBL3401978,O=c1[nH]c(=O)n(C[C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)o1,5.82,CHEMBL3405462
CHEMBL3698325,Cc1nc2ccc(Cl)cc2c(-n2ccc3c(C#N)cc(-c4ccncc4)cc32)c1C,5.83,CHEMBL3705734
CHEMBL2063752,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@H]4C)n2)CS(=O)(=O)C3)cc1,5.84,CHEMBL2065053
CHEMBL3698322,COc1cc(-c2ccncc2)cc2c1ccn2-c1c(C)c(C)nc2ccc(Cl)cc12,5.84,CHEMBL3705734
CHEMBL3646549,Cc1nc(N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2Nc2cc[nH]n2)n1,5.84,CHEMBL3706341
CHEMBL2165042,Cc1nc(-c2cccnc2Nc2cccc3n[nH]cc23)c2c[nH]nc2n1,5.85,CHEMBL3706341
CHEMBL3698297,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(-c3nc(N)ncc3Cl)cc21,5.85,CHEMBL3705734
CHEMBL2071342,CCn1nnc(CCNC(=O)Nc2nc(C)c(-c3ccc(S(C)(=O)=O)c(F)c3)s2)n1,5.85,CHEMBL2072997
CHEMBL5432177,Nc1cc(C(F)F)c(-c2nc(C3CCOCC3)nc(N3CCCCC3)n2)cn1,5.86,CHEMBL5321639
CHEMBL3643929,Cc1nc(N)nc(-c2cccnc2Nc2ccc(N)nc2)n1,5.88,CHEMBL3706341
CHEMBL3649424,O=S(=O)(Nc1cncc(-c2cnc3ccccn23)c1)c1ccc(F)cc1,5.89,CHEMBL3705286
CHEMBL4294600,Nc1cc(C(F)F)c(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cn1,5.89,CHEMBL4276427
CHEMBL3401981,Oc1cc([C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)on1,5.89,CHEMBL3405462
CHEMBL2017652,Cc1nnc(-c2sc(N3CCOCC3)c(C#N)c2-c2ccc(Cl)cc2)o1,5.89,CHEMBL2020200
CHEMBL5413191,Nc1ncc(-c2nc(C3=CCOCC3)nc(N3CCOCC3)n2)cc1C(F)(F)F,5.9,CHEMBL5321639
CHEMBL3698321,Cc1nc2ccc(Cl)cc2c(N2CCOc3ccc(N4CCOCC4)cc32)c1C,5.9,CHEMBL3705734
CHEMBL2063753,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CS(=O)(=O)C3)cc1,5.9,CHEMBL2065053
CHEMBL5438874,Nc1cnc(-c2nc(C3=CCOCC3)nc(N3CCOCC3)n2)cn1,5.93,CHEMBL5321639
CHEMBL5434108,Nc1cnc(-c2nc(C3CCOCC3)nc(N3CCOCC3)n2)cn1,5.94,CHEMBL5321639
CHEMBL3698344,CCc1c(C)nc2ccc(Cl)cc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,5.95,CHEMBL3705734
CHEMBL5400572,Nc1cc(C(F)F)c(-c2nc(C3CCOCC3)nc(N3C4CCC3COC4)n2)cn1,5.95,CHEMBL5321639
CHEMBL3698326,Cc1nc2ccc(Cl)cc2c(-n2ccc3c(C#N)cc(-c4cn[nH]c4)cc32)c1C,5.96,CHEMBL3705734
CHEMBL3649435,COc1cc(-c2cnc3ccc(N4CCOCC4)cn23)cnc1OC,5.97,CHEMBL3705286
CHEMBL5433100,C[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)F)nc(C2CCOCC2)n1,5.99,CHEMBL5321639
CHEMBL4588610,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(Br)nc(N)nc21,6.0,CHEMBL4410952
CHEMBL4475845,Cc1nc(N)nc2c1c(-c1ccc3oc(N)nc3c1)nn2C(C)C,6.0,CHEMBL4410952
CHEMBL3698327,Cc1c(C(F)(F)F)nc2ccc(Cl)cc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,6.01,CHEMBL3705734
CHEMBL3646494,Cc1nc(N)nc(-c2cccnc2Nc2cccc(OC(F)F)c2)n1,6.02,CHEMBL3706341
CHEMBL5405438,Nc1ncc(-c2nc(C3CCOCC3)nc(N3CCOCC3)n2)cc1C(F)(F)F,6.03,CHEMBL5321639
CHEMBL5853230,CS(=O)(=O)c1ccc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)cc1,6.04,CHEMBL5731104
CHEMBL4549761,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(Cl)nc(N)nc21,6.04,CHEMBL4410952
CHEMBL5976720,Cc1nn(C)cc1-c1nc2cc(N[C@H](C(N)=O)C3CC3)cc3c2n1CCCO3,6.04,CHEMBL5731104
CHEMBL3698311,Cc1c(-c2ccccc2F)nc2cccc(Cl)c2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,6.05,CHEMBL3705734
CHEMBL3701659,Cc1c(-c2ccccn2)nc2ncccc2c1N1CCOc2ccc(N3CCOCC3)cc21,6.05,CHEMBL3705734
CHEMBL3401979,Oc1cc([C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)no1,6.06,CHEMBL3405462
CHEMBL2165047,COc1ccc(Nc2cnccc2-c2nc(C)nc(N)n2)cn1,6.06,CHEMBL3706341
CHEMBL3401977,O=P(O)(O)CC[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,6.07,CHEMBL3405462
CHEMBL4788107,C[C@@H]1COCCN1c1nc(-c2ccc(N)nn2)nc2c1C[C@@H]1COCCN21,6.07,CHEMBL4732440
CHEMBL3646513,Cc1nc(N)nc(-c2cc(F)cnc2Nc2cncc(F)c2)n1,6.07,CHEMBL3706341
CHEMBL4795980,C[C@@H]1COCCN1c1nc(-c2nc(N)ns2)nc2c1C[C@@H]1COCCN21,6.09,CHEMBL4732440
CHEMBL3646593,CCS(=O)(=O)c1cnc(Nc2cnc(OC)c(F)c2)c(-c2nc(C)nc(N)n2)c1,6.09,CHEMBL3706341
CHEMBL6046574,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1cnn(CCO)c1)n3CCCO2)C1CC1,6.09,CHEMBL5731104
CHEMBL5984218,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4c(c1)NC(=O)CO4)n3CCCO2)C1CC1,6.09,CHEMBL5731104
CHEMBL2165035,Cc1nc(N)c(F)c(-c2cccnc2Nc2cccc3[nH]ncc23)n1,6.1,CHEMBL3706341
CHEMBL3698335,CC1(C)CN(c2c3c(nc4ccc(Cl)cc24)CCC3)c2cc(N3CCOCC3)ccc21,6.11,CHEMBL3705734
CHEMBL4564479,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2cnc(N)nc21,6.11,CHEMBL4410952
CHEMBL3649430,COc1cc(-c2cnc3ccc(Br)cn23)cnc1OC,6.11,CHEMBL3705286
CHEMBL3646509,CC(=O)Nc1ccc(Nc2ncccc2-c2nc(C)nc3[nH]cnc23)cc1Cl,6.12,CHEMBL3706341
CHEMBL5964988,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(N1CCOCC1)n3CCCO2)C1CC1,6.13,CHEMBL5731104
CHEMBL4592777,Nc1cc(C(F)(F)F)c(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cn1,6.14,CHEMBL4360966
CHEMBL3643932,Cc1nc(-c2cc(Cl)cnc2Nc2cccc3[nH]ncc23)c2nc[nH]c2n1,6.14,CHEMBL3706341
CHEMBL5924517,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(N1CCCCC1)n3CCCO2)C1CC1,6.14,CHEMBL5731104
CHEMBL4283349,COc1cc(N)ncc1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,6.16,CHEMBL4276427
CHEMBL3646519,Cc1nc(N)nc(-c2cccnc2Nc2ccc(NC(=O)NC(C)C)nc2)n1,6.16,CHEMBL3706341
CHEMBL5786428,C[C@H](Nc1cc2c3c(c1)nc(N1CCC(CO)CC1)n3CCCO2)C(N)=O,6.17,CHEMBL5731104
CHEMBL5832069,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(N1CCC(CO)CC1)n3CCCO2)C1CC1,6.17,CHEMBL5731104
CHEMBL4555199,C[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)(F)F)nc(N2CCOC[C@H]2C)n1,6.17,CHEMBL4360966
CHEMBL6063619,OCc1cnc2cc(-c3nc4cc(Br)cc5c4n3CCCO5)ccc2n1,6.17,CHEMBL5731104
CHEMBL3698338,Cc1cnc2ccccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,6.18,CHEMBL3705734
CHEMBL6053471,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(N1CCCOCC1)n3CCCO2)C1CC1,6.18,CHEMBL5731104
CHEMBL3646564,Cc1nc(N)nc(-c2cccnc2Nc2cc[nH]c(=O)c2)n1,6.19,CHEMBL3706341
CHEMBL1668276,Cc1nc(N)c2ccc(C)c(C(=O)Nc3cnc4[nH]ccc4c3)c2n1,6.2,CHEMBL1670738
CHEMBL4290128,C[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)F)nc(N2CCOC[C@H]2C)n1,6.2,CHEMBL4276427
CHEMBL3649431,COc1cc(-c2cnc3ccc(-c4ccncc4)cn23)cnc1OC,6.2,CHEMBL3705286
CHEMBL2171933,Cc1nc2ccc(Cl)cc2c(N2CC(C)(C)c3ccc(N4CCOCC4)cc32)c1C,6.2,CHEMBL3705734
CHEMBL4278312,Nc1cc(C(F)F)c(-c2nc(N3CCOCC34CCC4)nc(N3CCOCC34CCC4)n2)cn1,6.2,CHEMBL4276427
CHEMBL3698316,COc1cc2nc(C)c(C)c(N3CC(C)(C)c4ccc(N5CCOCC5)cc43)c2cc1C,6.21,CHEMBL3705734
CHEMBL3646501,Cc1ccc2cc(Nc3ncccc3-c3nc(C)nc(N)n3)ccc2n1,6.21,CHEMBL3706341
CHEMBL3646498,Cc1nc(N)nc(-c2cccnc2Nc2ccc3c(c2)OC(F)(F)O3)n1,6.21,CHEMBL3706341
CHEMBL3698339,Cc1nc2c(C)cc(Cl)cc2c(N2CC(C)(C)c3ccc(N4CCOCC4)cc32)c1C,6.21,CHEMBL3705734
CHEMBL3698331,COc1cc2nc(C)c(C)c(N3CC4(CCOCC4)c4ccc(Br)cc43)c2cc1Cl,6.24,CHEMBL3705734
CHEMBL3698348,Cc1c(-c2ccccc2F)nc2cc(Cl)ccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21,6.24,CHEMBL3705734
CHEMBL5856783,N#Cc1cccc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)c1,6.25,CHEMBL5731104
CHEMBL3646500,COc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cc1OC,6.25,CHEMBL3706341
CHEMBL3618234,Cc1nc(N)nc(-c2c(Nc3ccc4ncccc4c3)nc3ccccn23)n1,6.28,CHEMBL3620380
CHEMBL2063751,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CS(=O)(=O)C3)cc1,6.29,CHEMBL2065053
CHEMBL3698342,Cc1nc2c(C(F)(F)F)cccc2c(N2CC(C)(C)c3ccc(N4CCOCC4)cc32)c1C,6.29,CHEMBL3705734
CHEMBL3646465,COc1ccc(Nc2nc(-c3ccc(F)cc3)ncc2-c2nc(C)nc(N)n2)cn1,6.3,CHEMBL3706341
CHEMBL4434674,COc1ncc(-c2cc(-c3ncc(CN4C[C@@H](C)O[C@@H](C)C4)o3)c3cn[nH]c3c2)cc1NS(C)(=O)=O,6.3,CHEMBL4393769
CHEMBL3643928,CCOc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cn1,6.3,CHEMBL3706341
CHEMBL3649479,Cc1nc(N)nc(-c2cc(CN3CCN(C(=O)N(C)C)CC3)cnc2Nc2cnc(O)c(F)c2)n1,6.3,CHEMBL3706341
CHEMBL5877828,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc(OC(F)F)cc1)n3CCCO2)C1CC1,6.31,CHEMBL5731104
CHEMBL3698295,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ncc(C(N)=O)cc21,6.31,CHEMBL3705734
CHEMBL1796758,CN(C(=O)c1cc2c(s1)-c1ccccc1OCC2)c1ccncc1Cl,6.33,CHEMBL1798651
CHEMBL3646448,CC(=O)Nc1ccc(Nc2ncccc2-c2nc(C)nc3[nH]cnc23)cc1,6.33,CHEMBL3706341
CHEMBL3649444,O=c1n(Cc2ccccc2)ccc2ncc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)n12,6.33,CHEMBL3705286
CHEMBL3646497,COc1cc(Nc2ncccc2-c2nc(C)nc(N)n2)ccc1F,6.34,CHEMBL3706341
CHEMBL3646504,Cc1cncc(Nc2ncccc2-c2nc(C)nc(N)n2)c1,6.34,CHEMBL3706341
CHEMBL2171928,Cc1cc(-c2ccc3c(c2)N(c2c(C)c(-c4ccccn4)nc4cc(F)ccc24)CC3(C)C)nc(N)n1,6.35,CHEMBL3705734
CHEMBL2171921,Cc1nc2ccccc2c(N2CC3(CCOCC3)c3ccc(N4CCOCC4)cc32)c1C,6.35,CHEMBL3705734
CHEMBL3646540,COc1ccc(Nc2ncc(CN3CC(N)C3)cc2-c2nc(C)nc(N)n2)cn1,6.35,CHEMBL3706341
CHEMBL3646551,Cc1nc(N)nc(-c2cccnc2Nc2ccc(F)c(F)c2)n1,6.36,CHEMBL3706341
CHEMBL3698313,CC1(C)CN(c2c(C#N)c(-c3ccccn3)nc3cc(F)ccc23)c2cc(N3CCOCC3)cnc21,6.36,CHEMBL3705734
CHEMBL3646558,Cc1nc(N)nc(-c2cc(Cl)cnc2Nc2cncc(F)c2)n1,6.37,CHEMBL3706341
CHEMBL3646516,COCCNc1nc(C)nc(-c2cc(Cl)cnc2Nc2cnc(OC)c(F)c2)n1,6.39,CHEMBL3706341
CHEMBL5849751,Cn1ncnc1-c1nc2cc(N[C@H](C(N)=O)C3CC3)cc3c2n1CCCO3,6.4,CHEMBL5731104
CHEMBL2165046,COc1ccc(Nc2ccccc2-c2nc(C)nc(N)n2)cn1,6.4,CHEMBL3706341
CHEMBL5949742,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(N1CCCC(O)C1)n3CCCO2)C1CC1,6.4,CHEMBL5731104
CHEMBL3643936,COc1ccc(COCc2cnc(Nc3cccc4[nH]ccc34)c(-c3nc(C)nc4[nH]cnc34)c2)cc1,6.4,CHEMBL3706341
CHEMBL5818192,OCc1nc2cc(-c3nc4cc(Br)cc5c4n3CCCO5)ccc2o1,6.4,CHEMBL5731104
CHEMBL2418354,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3nc(C(C)(C)O)n(C)c3n2)cc1,6.41,CHEMBL2421129
CHEMBL3649447,O=S(=O)(Nc1cc(-c2cnc3ncccn23)cnc1Cl)c1ccc(F)cc1,6.42,CHEMBL3705286
CHEMBL2418340,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3ncn(CC)c3n2)cc1,6.42,CHEMBL2421129
CHEMBL3646625,COc1ncc(Nc2ncc(C(C)(C)C(=O)O)cc2-c2nc(C)nc(N)n2)cc1F,6.42,CHEMBL3706341
CHEMBL5779247,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc(F)cc1F)n3CCCO2)C1CC1,6.42,CHEMBL5731104
